Stock Symbol,Quantity
000,15490
00N,1040
A,12000
AA,12000
AAP,10325
ABT,284000
ABX,12000
ACE,12000
ACF,16000
ACN,18000
ADI,12000
ADP,12000
ADS,6000
ADT,6000
AFL,390000
AIG,12000
ALL,18000
ALT,6000
AMA,6000
AMG,22000
AMZ,10000
ANF,28000
ANN,16000
AOC,12000
APA,12000
APC,18000
APO,24000
APP,10000
ARO,40000
AVP,12000
AXP,96000
AZN,32000
BA,124000
BAC,12210
BAX,16000
BBB,6000
BBT,274000
BBY,12000
BDX,88000
BHI,12000
BJS,12000
BK,36000
BMC,12000
BMY,88000
BNI,38000
BP,12000
BR,12000
BRC,6000
BRL,20000
BSX,16000
C,12000
CA,12000
CAG,232000
CAH,12000
CAK,6000
CAT,34000
CCE,30000
CCL,12000
CCM,6000
CCU,8000
CEC,6000
CEL,48000
CEP,6000
CFC,12000
CHK,6000
CHS,12000
CL,12000
CMC,14000
CNX,12000
COF,12000
COH,214000
COP,12000
COS,12000
CRE,4000
CSC,6000
CTA,6000
CTS,66000
CTX,12000
CVC,12000
CVS,258000
CYB,6000
CYM,6000
DAL,22000
DD,66000
DDM,14600
DE,18000
DEL,6100
DHI,12000
DHR,16000
DIA,53485
DIG,1600
DIS,24100
DNA,16000
DOG,5300
DOW,14000
DOX,8000
DRI,6000
DRY,8800
DUK,12000
DVN,12000
DXD,12400
EAT,14000
EBA,8000
EDS,4000
EEM,100
EEV,100
EIX,142000
EK,12000
EL,4000
ELN,14000
ELX,4000
EMC,4000
EMR,28000
ENC,25930
ENZ,6000
EOG,4000
ESI,16000
ESR,6000
ESV,4000
EXC,4000
EXP,6000
FCX,12000
FDO,4000
FDX,12000
FE,4000
FFI,10000
FIS,6000
FIT,10000
FL,4000
FNM,132000
FRE,8000
FSL,100
FXP,3000
G,4000
GE,16000
GG,22000
GGP,4000
GIL,6000
GIS,4000
GM,52000
GOO,500
GPS,4000
GS,20000
HAL,4000
HD,4000
HIG,4000
HMA,4000
HMY,22000
HNZ,110000
HON,4000
HOT,106000
HUM,4000
IAC,8000
IBM,16000
IMC,64000
INS,6000
INT,10000
IOM,35000
IP,4000
IR,4000
IRF,4000
ISI,6000
ITW,4000
IVG,2000
IWM,1096600
IWN,10000
IYE,1400
IYF,3300
IYM,600
IYR,400
Int,2000
JBL,4000
JCI,62000
JCP,8000
JNJ,40000
JNP,6000
JPM,4000
JWN,8000
KEY,12000
KFT,8000
KLA,6000
KMB,8000
KMX,8000
KSS,36000
LAM,6000
LEH,2000
LEN,4000
LLL,4000
LLT,6000
LLY,8000
LMT,296000
LNC,6000
LPN,28000
LRC,6000
LTD,4000
LXK,4000
MAR,4000
MAS,4000
MAT,4000
MAY,4000
MCD,4000
MDT,12100
MDY,12100
MEE,4000
MER,4000
MET,4000
MFE,2000
MMC,10000
MMM,24000
MNS,6000
MO,12000
MON,2000
MOT,2000
MRK,6000
MRO,2000
MRV,6000
MSF,6000
MU,2000
MVV,11300
MYL,2000
MZZ,41500
NBR,14000
NEM,14000
NFL,4000
NPS,6000
NTA,6000
NTR,6000
NVT,10000
OIH,5000
OSI,6000
OVT,4000
PAY,6000
PCA,6000
PDL,26000
PET,10000
PLC,6000
PSU,6000
PTR,400
QCO,6000
QID,18000
QLD,59100
QLG,6000
QQQ,2019500
SAP,2000
SBU,6000
SDS,170000
SEP,8000
SH,4500
SHL,92000
SHP,6000
SIN,10000
SKF,500
SLA,6000
SMT,6000
SND,26000
SOH,10000
SPL,52000
SPY,2413000
SSO,282000
SYM,6000
TAS,4000
TEC,6000
TEV,8000
TGT,72000
THQ,6000
TSE,1000
TTW,6000
TWM,72500
TXN,12000
TYC,12000
UNT,6000
URB,6000
URE,400
UTS,4000
UTX,404000
UWM,43300
UYG,1100
VEC,6000
VRS,6000
VSE,6000
VZ,12000
WFM,4000
WLP,12000
WMT,38000
WYE,288000
XLN,6000
YHO,6000
ZVZ,3525
