Session Letter,Message Type,Message Type Name,Timestamp,Order ID,Side,Quantity,Stock Symbol,Price,Display
S,A,Add Order,2880001,AK27GA0000DT,S,000100,SH,   0000619,2
S,A,Add Order,2880001,BK27GA00000K,B,001000,SSO,   0000763,8
S,A,Add Order,2880001,BK27GA00000L,B,001000,SSO,   0000763,6
S,A,Add Order,2880001,BK27GA00000M,S,001000,SSO,   0000764,8
S,A,Add Order,2880001,AK27GA0000DU,S,001000,SDS,   0000549,3
S,A,Add Order,2880001,AK27GA0000DV,B,001000,SDS,   0000548,0
S,A,Add Order,2880001,AK27GA0000DW,B,000100,SPY,   0001424,1
S,A,Add Order,2880001,AK27GA0000DX,S,000100,SPY,   0001426,3
S,A,Add Order,2880001,AK27GA0000DY,B,000100,SH,   0000618,5
S,A,Add Order,2880001,AK27GA0000DZ,B,001000,SDS,   0000547,8
S,A,Add Order,2880007,BK27GA00000N,S,000100,UWM,   0000542,9
S,A,Add Order,2880007,BK27GA00000O,B,000100,TWM,   0000701,4
S,A,Add Order,2880007,BK27GA00000P,B,000100,TWM,   0000701,6
S,A,Add Order,2880007,BK27GA00000Q,B,000100,UWM,   0000542,0
S,A,Add Order,2880007,BK27GA00000R,S,000100,TWM,   0000702,6
S,A,Add Order,2880007,BK27GA00000S,B,000100,TWM,   0000701,5
S,A,Add Order,2880013,4K27GA00002R,S,000100,DOG,   0000598,5
S,A,Add Order,2880013,3K27G6000006,S,000100,DDM,   0000802,1
S,A,Add Order,2880013,4K27GA00002S,S,000100,DXD,   0000501,3
S,A,Add Order,2880013,4K27GA00002T,S,000100,DXD,   0000501,1
S,A,Add Order,2880013,4K27GA00002U,S,000100,DXD,   0000501,2
S,A,Add Order,2880013,4K27GA00002V,B,000100,DXD,   0000500,4
S,A,Add Order,2880013,4K27GA00002W,B,000100,DOG,   0000597,2
S,A,Add Order,2880013,3K27G6000007,B,000100,DDM,   0000800,7
S,A,Add Order,2880016,4K27GA00002X,B,000100,DIG,   0001235,8
S,A,Add Order,2880016,4K27GA00002Y,S,000100,DIG,   0001244,4
S,A,Add Order,2880016,6K27GA00001I,B,000100,IYE,   0001530,5
S,A,Add Order,2880016,6K27GA00001J,S,000100,IYE,   0001539,1
S,A,Add Order,2880016,1K27GA00000V,B,000100,AAP,L  0001828,6
S,A,Add Order,2880016,1K27GA00000W,S,000100,AAP,L  0001834,8
S,A,Add Order,2880016,1K27GA00000X,B,000100,AAP,L  0001828,6
S,A,Add Order,2880016,1K27GA00000Y,S,000100,AAP,L  0001834,8
S,A,Add Order,2880016,9K27G60000CZ,S,001000,QID,   0000382,2
S,A,Add Order,2880016,9K27G60000D0,S,001000,QLD,   0000889,8
S,A,Add Order,2880016,9K27G60000D1,B,001000,QLD,   0000888,5
S,A,Add Order,2880016,9K27G60000D2,B,001000,QLD,   0000888,4
S,A,Add Order,2880016,9K27G60000D3,B,001000,QQQ,Q  0000495,1
S,A,Add Order,2880016,9K27G60000D4,B,001000,QID,   0000380,9
S,A,Add Order,2880016,9K27G60000D5,B,000500,QQQ,Q  0000495,0
S,A,Add Order,2880016,9K27G60000D6,B,000500,QQQ,Q  0000494,9
S,A,Add Order,2880016,9K27G60000D7,B,000500,QQQ,Q  0000494,4
S,A,Add Order,2880016,9K27G60000D8,B,000500,QQQ,Q  0000493,8
S,A,Add Order,2880016,9K27G60000D9,B,000500,QQQ,Q  0000494,3
S,A,Add Order,2880016,9K27G60000DA,B,000500,QQQ,Q  0000495,1
S,A,Add Order,2880016,9K27G60000DB,B,000500,QQQ,Q  0000493,7
S,A,Add Order,2880016,9K27G60000DC,S,000500,QQQ,Q  0000496,7
S,A,Add Order,2880016,9K27G60000DD,S,000500,QQQ,Q  0000497,3
S,A,Add Order,2880016,9K27G60000DE,B,000500,QQQ,Q  0000494,8
S,A,Add Order,2880016,9K27G60000DF,B,000500,QQQ,Q  0000494,7
S,A,Add Order,2880016,9K27G60000DG,B,000500,QQQ,Q  0000494,1
S,A,Add Order,2880016,9K27G60000DH,S,000500,QQQ,Q  0000496,8
S,A,Add Order,2880016,9K27G60000DI,S,000500,QQQ,Q  0000497,4
S,A,Add Order,2880016,9K27G60000DJ,B,000500,QQQ,Q  0000494,5
S,A,Add Order,2880016,9K27G60000DK,B,000500,QQQ,Q  0000493,9
S,A,Add Order,2880016,9K27G60000DL,S,000500,QQQ,Q  0000496,6
S,A,Add Order,2880016,9K27G60000DM,S,000500,QQQ,Q  0000497,2
S,A,Add Order,2880016,9K27G60000DN,B,000500,QQQ,Q  0000494,6
S,A,Add Order,2880016,9K27G60000DO,B,000500,QQQ,Q  0000494,0
S,A,Add Order,2880016,9K27G60000DP,S,000500,QQQ,Q  0000496,4
S,A,Add Order,2880016,9K27G60000DQ,S,000500,QQQ,Q  0000497,0
S,A,Add Order,2880016,9K27G60000DR,S,000500,QQQ,Q  0000497,6
S,A,Add Order,2880016,9K27G60000DS,B,000500,QQQ,Q  0000494,2
S,A,Add Order,2880016,9K27G60000DT,S,000500,QQQ,Q  0000496,3
S,A,Add Order,2880016,9K27G60000DU,S,000500,QQQ,Q  0000496,9
S,A,Add Order,2880016,9K27G60000DV,S,000500,QQQ,Q  0000496,5
S,A,Add Order,2880016,9K27G60000DW,S,000500,QQQ,Q  0000497,1
S,A,Add Order,2880016,9K27G60000DX,S,000500,QQQ,Q  0000497,7
S,A,Add Order,2880016,9K27G60000DY,S,000500,QQQ,Q  0000497,5
S,A,Add Order,2880016,4K27GA00002Z,B,000100,DRY,S  0001052,6
S,X,Cancelled Order,2880016,1K27GA00000Y,0,00100,,,
S,A,Add Order,2880016,1K27GA00000Y,S,000100,AAP,L  0001831,9
S,X,Cancelled Order,2880016,1K27GA00000V,0,00100,,,
S,A,Add Order,2880016,1K27GA00000V,B,000100,AAP,L  0001826,1
S,X,Cancelled Order,2880016,1K27GA00000W,0,00100,,,
S,A,Add Order,2880016,1K27GA00000W,S,000100,AAP,L  0001831,9
S,A,Add Order,2880017,9K27G60000DZ,B,001000,QQQ,Q  0000495,2
S,A,Add Order,2880017,9K27G60000E0,B,001000,QQQ,Q  0000495,3
S,A,Add Order,2880017,9K27G60000E1,B,000500,QQQ,Q  0000495,2
S,A,Add Order,2880017,9K27G60000E2,B,000500,QQQ,Q  0000495,3
S,A,Add Order,2880017,5K27GA00000J,S,000100,FXP,   0000658,4
S,A,Add Order,2880017,5K27GA00000K,B,000100,FXP,   0000654,4
S,X,Cancelled Order,2880017,5K27GA00000K,0,00100,,,
S,A,Add Order,2880017,5K27GA00000L,B,000100,FXP,   0000654,2
S,X,Cancelled Order,2880017,5K27GA00000J,0,00100,,,
S,A,Add Order,2880017,5K27GA00000M,B,000100,FXP,   0000656,6
S,X,Cancelled Order,2880018,1K27GA00000V,0,00100,,,
S,A,Add Order,2880018,1K27GA00000V,B,000100,AAP,L  0001828,6
S,X,Cancelled Order,2880018,1K27GA00000Y,0,00100,,,
S,A,Add Order,2880018,1K27GA00000Y,S,000100,AAP,L  0001834,8
S,X,Cancelled Order,2880018,1K27GA00000X,0,00100,,,
S,A,Add Order,2880018,1K27GA00000X,B,000100,AAP,L  0001830,1
S,X,Cancelled Order,2880018,AK27GA0000DW,0,00100,,,
S,X,Cancelled Order,2880018,4K27GA00002X,0,00100,,,
S,X,Cancelled Order,2880017,6K27GA00001I,0,00100,,,
S,X,Cancelled Order,2880018,1K27GA00000Y,0,00100,,,
S,A,Add Order,2880018,1K27GA00000Y,S,000100,AAP,L  0001833,4
S,A,Add Order,2880018,9K27G60000E3,B,001000,QQQ,Q  0000495,5
S,X,Cancelled Order,2880018,1K27GA00000Y,0,00100,,,
S,A,Add Order,2880018,1K27GA00000Y,S,000100,AAP,L  0001831,9
S,A,Add Order,2880018,4K27GA000030,B,000100,DIG,   0001235,6
S,A,Add Order,2880018,AK27GA0000E0,B,000100,SPY,   0001423,7
S,A,Add Order,2880018,6K27GA00001K,B,000100,IYE,   0001530,3
S,A,Add Order,2880018,4K27GA000031,B,000100,DIG,   0001237,7
S,X,Cancelled Order,2880018,4K27GA000030,0,00100,,,
S,A,Add Order,2880018,6K27GA00001L,B,000100,IYE,   0001531,5
